College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Alameda,2020-2021,20348,17120,14745,19475,16318,14013,17623,14747,12646
Alameda,2021-2022,17387,14503,12321,16757,13921,11816,15167,12566,10638
Alameda,2022-2023,19919,16265,13795,19221,15627,13214,17450,14175,11951
Alameda,2023-2024,21139,17625,14954,20329,16888,14265,18602,15440,12970
Allan Hancock,2020-2021,54671,48727,40604,53814,47938,39932,45822,40617,33526
Allan Hancock,2021-2022,46292,39858,32794,45772,39388,32405,38220,32615,26470
Allan Hancock,2022-2023,55078,48731,40454,53747,47702,39773,46383,40753,33343
Allan Hancock,2023-2024,58203,52100,43296,57419,51428,42787,49519,44066,36246
American River,2020-2021,127707,107499,92392,114545,96015,82362,102818,85894,73442
American River,2021-2022,125005,106942,92331,113217,96664,83347,94815,79811,67786
American River,2022-2023,135949,119343,104643,122081,107028,93868,96286,82130,70096
American River,2023-2024,148278,130655,114606,133871,117735,103133,107758,92629,79174
Antelope Valley,2020-2021,70425,62167,52352,70005,61826,52151,63768,56243,47290
Antelope Valley,2021-2022,63654,55857,45865,63373,55612,45708,57724,50606,41405
Antelope Valley,2022-2023,70586,63001,51454,70339,62789,51286,63866,56764,45852
Antelope Valley,2023-2024,78610,70035,56519,78214,69694,56251,71495,63433,50646
Bakersfield,2020-2021,144776,126136,98257,136869,118482,91055,114226,98532,75219
Bakersfield,2021-2022,137936,119986,94133,132221,114493,89154,115530,99925,77356
Bakersfield,2022-2023,156781,137618,109415,151547,132555,104802,142857,124695,98032
Bakersfield,2023-2024,168735,149025,121407,163791,144246,116960,154035,135302,109120
Barstow,2020-2021,15351,13965,11721,15304,13919,11678,2627,2307,1829
Barstow,2021-2022,15652,14169,11692,15572,14090,11626,9878,8910,7265
Barstow,2022-2023,18805,17104,13756,18725,17027,13689,17633,15984,12801
Barstow,2023-2024,20216,17911,14406,20139,17836,14338,18805,16611,13303
Berkeley City,2020-2021,23852,19831,17469,23541,19563,17240,22429,18642,16483
Berkeley City,2021-2022,20256,16698,14112,20081,16545,13975,19261,15856,13419
Berkeley City,2022-2023,22700,18460,15635,22501,18282,15475,21787,17708,14989
Berkeley City,2023-2024,24401,19836,16979,24195,19683,16845,23404,19014,16270
Butte,2020-2021,54947,47625,40235,54881,47572,40185,51666,44668,37589
Butte,2021-2022,55102,49138,40821,54999,49038,40747,51960,46267,38321
Butte,2022-2023,55306,49864,41585,55220,49784,41528,52825,47541,39445
Butte,2023-2024,59584,54215,45135,59466,54107,45046,57107,51916,43009
Cabrillo,2020-2021,59971,52554,44228,58108,51042,43070,52029,45372,37917
Cabrillo,2021-2022,55135,48144,39707,53296,46643,38595,47468,41270,33711
Cabrillo,2022-2023,47710,42294,35185,46547,41263,34361,41326,36363,29838
Cabrillo,2023-2024,50385,45189,37563,49297,44175,36669,43696,38876,31849
Canada,2020-2021,22582,21842,18550,21600,20948,17882,21302,20677,17637
Canada,2021-2022,22240,20347,17169,21317,19544,16565,21006,19274,16305
Canada,2022-2023,24373,21129,17514,23112,20133,16814,23081,20102,16784
Canada,2023-2024,27736,24220,20508,26200,22935,19507,26175,22911,19483
Canyons,2020-2021,104221,95552,85405,102121,93636,83729,88824,80630,70980
Canyons,2021-2022,94147,85169,74927,93140,84294,74196,81773,73188,63325
Canyons,2022-2023,103526,95477,85893,103112,95071,85513,80416,72468,63009
Canyons,2023-2024,106565,97830,87164,106144,97419,86759,85051,76424,65863
Cerritos,2020-2021,127344,104115,85360,124617,102254,83944,112822,91991,74912
Cerritos,2021-2022,113013,93989,76459,111568,92928,75748,100657,83178,66900
Cerritos,2022-2023,114949,96130,77737,114421,95725,77413,109215,91628,74138
Cerritos,2023-2024,124286,102807,84008,123709,102395,83661,120686,99809,81387
Cerro Coso,2020-2021,24979,22475,19161,24339,21850,18555,22944,20647,17553
Cerro Coso,2021-2022,23024,20120,17202,22492,19597,16702,21105,18388,15727
Cerro Coso,2022-2023,24247,21414,18363,23673,20875,17861,22182,19521,16698
Cerro Coso,2023-2024,25214,22160,19227,24345,21305,18375,22413,19574,16773
Chabot Hayward,2020-2021,63639,56777,50051,61315,54632,48189,60088,53595,47280
Chabot Hayward,2021-2022,59279,51074,43198,57362,49307,41661,55806,47914,40368
Chabot Hayward,2022-2023,62763,54312,46042,61327,53016,44899,60832,52593,44546
Chabot Hayward,2023-2024,67741,58686,48459,66764,57762,47631,66484,57534,47460
Chaffey,2020-2021,117726,106362,82040,116418,105246,81373,109540,98902,76066
Chaffey,2021-2022,109066,98110,73765,108714,97798,73565,102033,91703,68568
Chaffey,2022-2023,121339,109870,81376,120925,109496,81131,113101,102311,75419
Chaffey,2023-2024,130481,120040,94390,128777,118516,93411,120870,111098,87128
Citrus,2020-2021,65951,58681,47842,63869,56847,46433,60295,53689,43667
Citrus,2021-2022,57280,51615,42110,55713,50194,41031,51806,46602,37810
Citrus,2022-2023,59821,54073,44400,57906,52350,43038,53915,48675,39682
Citrus,2023-2024,61618,56572,46904,59606,54747,45491,55856,51203,42291
Clovis,2020-2021,40528,37441,31527,40004,37002,31227,39576,36619,30964
Clovis,2021-2022,38415,35483,28795,37933,35105,28552,37492,34728,28286
Clovis,2022-2023,41177,38437,31091,40745,38047,30865,40670,37975,30811
Clovis,2023-2024,45865,43169,35287,45579,42917,35157,45549,42889,35133
Coastline,2020-2021,37557,32669,28738,36810,31995,28128,36196,31531,27727
Coastline,2021-2022,31544,27878,24065,30899,27306,23570,30191,26744,23097
Coastline,2022-2023,35237,30936,26108,34470,30287,25548,34085,29988,25288
Coastline,2023-2024,38653,34052,28733,37921,33425,28199,37738,33256,28039
Columbia,2020-2021,11106,10236,9229,11088,10219,9217,9876,9072,8166
Columbia,2021-2022,12641,10813,9251,12626,10799,9240,10884,9269,7923
Columbia,2022-2023,14171,12328,10680,14146,12306,10660,11945,10242,8769
Columbia,2023-2024,15971,13943,12029,15953,13929,12015,13493,11656,9928
Compton,2020-2021,21105,17690,14829,20965,17586,14748,20454,17255,14489
Compton,2021-2022,19031,15951,13020,18876,15827,12906,18550,15604,12741
Compton,2022-2023,20629,17149,14079,20429,16989,13943,20239,16847,13831
Compton,2023-2024,24461,20345,16547,24323,20235,16441,24286,20201,16416
Contra Costa,2020-2021,30293,27017,22607,29410,26235,21946,27075,24167,20150
Contra Costa,2021-2022,28853,24935,20326,28182,24364,19908,26006,22453,18268
Contra Costa,2022-2023,30523,26562,21795,30053,26142,21446,27758,24202,19865
Contra Costa,2023-2024,47232,41758,34754,46531,41122,34258,43620,38473,31973
Copper Mountain,2020-2021,8510,7530,6297,8392,7445,6239,7817,6929,5782
Copper Mountain,2021-2022,7372,6597,5468,7272,6506,5409,6820,6113,5070
Copper Mountain,2022-2023,7475,6730,5610,7331,6596,5490,7031,6331,5261
Copper Mountain,2023-2024,8378,7535,6389,8210,7384,6253,7859,7072,5987
Cosumnes River,2020-2021,73233,61268,50923,71182,59492,49636,63624,53300,44618
Cosumnes River,2021-2022,66164,55038,45660,64491,53630,44549,58382,48597,40463
Cosumnes River,2022-2023,69686,59530,50002,67811,57987,48814,62589,53426,44904
Cosumnes River,2023-2024,78640,67431,56471,76593,65712,55129,70713,60557,50730
Crafton Hills,2020-2021,33900,30746,25074,33132,30036,24518,29969,27145,21991
Crafton Hills,2021-2022,28739,26022,21032,28061,25396,20515,25932,23497,18987
Crafton Hills,2022-2023,30015,27473,22419,29160,26683,21800,26755,24421,19830
Crafton Hills,2023-2024,32436,29732,24534,31688,29048,23960,28991,26514,21713
Cuesta,2020-2021,53029,45633,39234,52944,45553,39189,49404,42496,36527
Cuesta,2021-2022,49886,43490,37009,49775,43393,36925,46285,40291,34264
Cuesta,2022-2023,51399,45670,38770,51315,45586,38691,47894,42378,35799
Cuesta,2023-2024,53777,48168,40867,53671,48062,40762,50088,44593,37522
Cuyamaca,2020-2021,38925,34983,29796,36606,32933,28171,36062,32427,27705
Cuyamaca,2021-2022,36462,32075,27254,34544,30455,26009,33933,29904,25523
Cuyamaca,2022-2023,39333,34861,29133,37250,33042,27706,36696,32496,27243
Cuyamaca,2023-2024,43026,38713,33208,40587,36546,31423,39583,35569,30511
Cypress,2020-2021,79278,71725,62750,77197,69971,61402,74345,67491,59330
Cypress,2021-2022,73581,64903,55371,72223,63790,54586,69680,61703,52928
Cypress,2022-2023,77705,66798,55592,76151,65706,54843,75061,64753,53992
Cypress,2023-2024,85724,74496,62574,84045,73291,61769,82855,72224,60832
Deanza,2020-2021,103195,94631,83301,98889,90671,79883,97607,89539,78898
Deanza,2021-2022,92425,84651,74275,88978,81438,71471,88124,80699,70829
Deanza,2022-2023,92507,85108,74429,89525,82351,72110,88941,81804,71618
Deanza,2023-2024,37710,34285,29495,36736,33389,28725,36453,33133,28508
Desert,2020-2021,62047,53018,43421,60654,51968,42667,57272,49075,40259
Desert,2021-2022,56589,48455,37884,55628,47705,37394,51795,44472,34859
Desert,2022-2023,58997,51061,40603,58435,50623,40262,54223,46949,37191
Desert,2023-2024,63331,56519,45070,63023,56239,44819,58412,51962,41045
Diablo Valley,2020-2021,115479,106286,93501,111156,102295,90003,106471,97682,85522
Diablo Valley,2021-2022,106182,93985,82314,102714,90988,79720,99198,87540,76320
Diablo Valley,2022-2023,102558,91749,79976,99377,88925,77594,96529,86085,74771
Diablo Valley,2023-2024,149724,134261,117033,146462,131277,114388,144120,128957,112091
East LA,2020-2021,147349,129297,107767,145925,128061,106790,118531,102368,82960
East LA,2021-2022,125631,110788,90976,124818,110061,90410,99577,86079,67904
East LA,2022-2023,130010,114412,92708,129075,113612,92136,106399,91759,71291
East LA,2023-2024,145321,129287,104404,144670,128669,103867,113273,97594,73437
El Camino,2020-2021,121680,100402,83605,114896,95644,80126,112228,93557,78489
El Camino,2021-2022,109511,91371,75277,103351,86808,72006,101480,85374,70922
El Camino,2022-2023,118118,99803,81599,111280,94871,78047,110295,94031,77328
El Camino,2023-2024,123406,104797,86922,117006,100069,83443,115812,98976,82535
Evergreen Valley,2020-2021,49863,43907,37956,45914,40468,34986,44847,39513,34182
Evergreen Valley,2021-2022,44060,38489,32510,40967,35777,30208,40151,35018,29576
Evergreen Valley,2022-2023,48221,42180,35442,45608,39928,33572,44849,39207,32953
Evergreen Valley,2023-2024,48556,42314,35015,45674,39829,32982,44744,38938,32204
Feather River,2020-2021,11827,11227,9912,11727,11127,9812,9874,9338,8158
Feather River,2021-2022,11126,10685,9439,11046,10605,9364,8934,8563,7504
Feather River,2022-2023,11388,10909,9449,11298,10819,9362,9439,9054,7746
Feather River,2023-2024,12419,11803,10295,12176,11562,10069,10221,9683,8389
Folsom Lake,2020-2021,47876,40223,35048,45122,37995,33225,43751,36887,32294
Folsom Lake,2021-2022,42860,35873,31225,40626,34060,29682,39437,33138,28923
Folsom Lake,2022-2023,44886,38554,33840,42692,36723,32318,41952,36081,31725
Folsom Lake,2023-2024,51854,45030,39718,49162,42754,37771,48259,41982,37072
Foothill,2020-2021,67296,61462,55120,66263,60487,54297,58835,53152,47111
Foothill,2021-2022,57755,52922,47264,56774,52006,46482,50263,45570,40188
Foothill,2022-2023,58574,54022,48393,57602,53100,47587,51746,47265,41851
Foothill,2023-2024,22631,20874,18701,22325,20577,18440,20735,18996,16882
Fresno City,2020-2021,120853,110167,91762,107991,98031,80905,104113,94553,77963
Fresno City,2021-2022,115374,106052,87156,100853,92204,74606,96197,87989,71148
Fresno City,2022-2023,130535,121638,100066,115053,106795,86605,110628,102687,83207
Fresno City,2023-2024,145596,136340,113449,129407,120858,99390,125106,116736,95943
Fullerton,2020-2021,103980,102716,86868,103412,102152,86354,99902,98651,83416
Fullerton,2021-2022,98165,89533,74009,97571,88983,73519,95400,86897,71624
Fullerton,2022-2023,110337,93002,75631,109869,92562,75237,106982,90006,72962
Fullerton,2023-2024,117760,100748,83562,117061,100111,83000,114508,97722,80788
Gavilan,2020-2021,25933,23543,19496,24814,22540,18626,23543,21395,17586
Gavilan,2021-2022,24347,21872,17861,22998,20645,16776,21739,19476,15716
Gavilan,2022-2023,26572,24044,19972,24988,22572,18643,23646,21294,17450
Gavilan,2023-2024,33015,29265,24439,30098,26557,21914,28390,24944,20386
Glendale,2020-2021,66881,66137,58204,64705,63978,56237,59700,59036,52052
Glendale,2021-2022,57417,57062,49657,55759,55405,48197,51938,51613,44997
Glendale,2022-2023,61829,57591,50247,59940,55796,48617,56891,52855,45993
Glendale,2023-2024,70214,63020,54825,67339,60447,52568,65151,58457,50776
Golden West,2020-2021,62468,55057,47255,61697,54352,46671,60348,53122,45560
Golden West,2021-2022,54853,48720,41129,54405,48307,40787,53417,47394,39959
Golden West,2022-2023,56179,49960,42861,55740,49572,42530,54593,48481,41496
Golden West,2023-2024,59122,53384,46325,58936,53208,46172,57936,52251,45255
Grossmont,2020-2021,81428,69860,58305,78309,67191,56242,77201,66340,55590
Grossmont,2021-2022,69681,59086,48804,67334,57210,47386,66605,56670,46989
Grossmont,2022-2023,72044,61450,50246,69801,59638,48892,69801,59638,48892
Grossmont,2023-2024,77723,67903,56443,74590,65257,54396,74574,65241,54380
Hartnell,2020-2021,53051,45423,37606,51575,44230,36553,47254,40331,33178
Hartnell,2021-2022,49925,43556,36878,48787,42626,36033,43327,37500,31232
Hartnell,2022-2023,49755,44314,37513,48962,43629,36890,45994,40806,34281
Hartnell,2023-2024,58993,52806,44640,58339,52240,44143,53297,47344,39484
Imperial,2020-2021,47395,41305,32772,43426,37942,30179,41531,36343,29000
Imperial,2021-2022,48017,41534,32530,45299,39274,30761,43192,37496,29438
Imperial,2022-2023,50976,44842,36002,48442,42614,34178,46551,41021,32986
Imperial,2023-2024,52970,47347,37839,50993,45570,36322,49666,44342,35298
Irvine,2020-2021,71397,65913,57106,68158,62962,54748,65533,60519,52651
Irvine,2021-2022,65278,59743,50728,62516,57215,48835,60091,54950,46855
Irvine,2022-2023,68127,61563,51843,65767,59414,50169,63346,57231,48244
Irvine,2023-2024,76914,69812,59419,74356,67530,57682,71994,65368,55763
LA City,2020-2021,71325,60093,50187,70516,59414,49779,67128,56605,47597
LA City,2021-2022,62311,52266,41503,61098,51190,40766,58661,49229,39298
LA City,2022-2023,63281,53801,43450,62484,53089,43000,60334,51320,41634
LA City,2023-2024,66482,58216,47582,65833,57648,47174,64843,56728,46418
LA Harbor,2020-2021,36998,32379,26356,36777,32195,26202,36045,31644,25830
LA Harbor,2021-2022,32732,28540,22469,32627,28454,22394,32024,28016,22146
LA Harbor,2022-2023,36290,32145,25634,36207,32062,25555,35760,31745,25369
LA Harbor,2023-2024,38653,34531,27650,38641,34519,27638,38540,34431,27578
LA Mission,2020-2021,39821,34293,27652,39327,33859,27371,37033,31899,25728
LA Mission,2021-2022,37537,32871,25862,37237,32618,25706,35511,31132,24487
LA Mission,2022-2023,42290,37149,28885,42179,37042,28815,40616,35663,27666
LA Mission,2023-2024,44529,39523,30955,44494,39489,30928,42894,38035,29706
LA Pierce,2020-2021,83161,73201,62056,82906,72983,61864,79676,70246,59695
LA Pierce,2021-2022,73614,64226,53387,73355,63999,53178,70976,61989,51589
LA Pierce,2022-2023,79396,69822,56620,79242,69688,56506,76696,67508,54784
LA Pierce,2023-2024,82844,73893,60379,82352,73451,60022,80657,71942,58750
LA Swest,2020-2021,21796,18806,14839,21660,18681,14751,21067,18215,14365
LA Swest,2021-2022,18786,16342,12742,18621,16206,12638,18219,15875,12382
LA Swest,2022-2023,20056,17411,13132,19719,17117,12947,19319,16814,12713
LA Swest,2023-2024,19988,17218,12865,19658,16904,12604,19330,16617,12441
LA Trade,2020-2021,49238,42251,35253,48903,41980,35038,34348,29062,23892
LA Trade,2021-2022,43118,37072,30583,42905,36900,30451,29409,24998,19986
LA Trade,2022-2023,49954,43165,35571,49752,43002,35429,33828,28888,23183
LA Trade,2023-2024,57713,50504,40730,57567,50380,40614,40299,34716,27081
LA Valley,2020-2021,70264,62045,52909,69211,61046,51992,66259,58387,49740
LA Valley,2021-2022,61991,54817,45727,61254,54136,45107,58683,51825,43126
LA Valley,2022-2023,69098,61233,50260,68677,60850,49931,66450,58863,48309
LA Valley,2023-2024,73242,65396,53607,72775,64982,53288,70993,63375,51870
Lake Tahoe,2020-2021,10978,10326,8871,10799,10156,8730,9176,8565,7250
Lake Tahoe,2021-2022,11240,10533,9184,10961,10260,8952,8883,8224,6996
Lake Tahoe,2022-2023,13946,13251,11743,12391,11707,10216,10070,9445,8048
Lake Tahoe,2023-2024,15278,14535,12723,14045,13312,11513,12143,11425,9718
Laney,2020-2021,36436,30872,27160,33893,28628,25161,29083,24575,21534
Laney,2021-2022,32680,27664,24034,30925,26105,22650,25934,21846,18782
Laney,2022-2023,37464,30879,26527,35448,29059,24875,29682,24157,20448
Laney,2023-2024,39485,33016,28026,37420,31209,26487,30582,25345,21271
Las Positas,2020-2021,43708,39392,35356,42987,38794,34868,42269,38160,34323
Las Positas,2021-2022,40206,35072,30308,39588,34602,29955,39047,34142,29565
Las Positas,2022-2023,41354,35592,30701,40704,35034,30250,40399,34752,29995
Las Positas,2023-2024,46730,40570,35249,46027,39973,34758,45571,39576,34406
Lassen,2020-2021,11540,10026,8804,11022,9558,8364,8703,7364,6293
Lassen,2021-2022,10489,9355,8117,10048,8951,7739,8008,7033,5937
Lassen,2022-2023,10101,9121,7864,9699,8722,7468,7716,6850,5691
Lassen,2023-2024,10645,9628,8407,10258,9245,8029,8734,7779,6643
Long Beach,2020-2021,140381,118177,93350,136675,115230,91374,122081,102902,81524
Long Beach,2021-2022,127588,106305,81137,124917,104186,79760,112463,93715,71384
Long Beach,2022-2023,138848,117088,90388,135938,114883,88952,124581,104869,80477
Long Beach,2023-2024,150808,130262,99974,148038,128235,98631,135334,116775,88835
Los Medanos,2020-2021,46571,42058,35434,45017,40752,34388,42335,38454,32584
Los Medanos,2021-2022,44900,38797,32464,43104,37303,31264,40634,35332,29721
